1511596,334.0000
1511598,334.0000
1511600,330.0000
1511602,334.0000
1511604,334.0000
1511606,334.0000
1511608,334.0000
1511610,334.0000
1511612,334.0000
1511614,334.0000
1511616,338.0000
1511618,334.0000
1511620,330.0000
1511622,330.0000
1511624,340.0000
1511626,334.0000
1511628,330.0000
1511630,330.0000
1511632,334.0000
1511634,330.0000
1511636,334.0000
1511638,330.0000
1511640,334.0000
1511642,330.0000
1511644,334.0000
1511646,334.0000
1511648,330.0000
1511650,330.0000
1511652,334.0000
1511654,334.0000
1511656,330.0000
1511658,334.0000
1511660,334.0000
1511662,338.0000
1511664,338.0000
1511666,334.0000
1511668,334.0000
1511670,330.0000
1511672,330.0000
1511674,334.0000
1511676,330.0000
1511678,330.0000
1511680,334.0000
1511682,334.0000
1511684,330.0000
1511686,330.0000
1511688,334.0000
1511690,334.0000
1511692,334.0000
1511694,334.0000
1511696,330.0000
1511698,334.0000
1511700,338.0000
1511702,334.0000
1511704,334.0000
1511706,334.0000
1511708,334.0000
1511710,334.0000
1511712,338.0000
1511714,338.0000
1511716,338.0000
1511718,340.0000
1511720,334.0000
1511722,334.0000
1511724,334.0000
1511726,338.0000
1511728,330.0000
1511730,334.0000
1511732,340.0000
1511734,340.0000
1511736,334.0000
1511738,334.0000
1511740,338.0000
1511742,334.0000
1511744,334.0000
1511746,338.0000
1511748,338.0000
1511750,330.0000
1511752,330.0000
1511754,334.0000
1511756,334.0000
1511758,334.0000
1511760,334.0000
1511762,334.0000
1511764,334.0000
1511766,334.0000
1511768,330.0000
1511770,328.0000
1511772,334.0000
1511774,334.0000
1511776,334.0000
1511778,330.0000
1511780,334.0000
1511782,330.0000
1511784,328.0000
1511786,338.0000
1511788,338.0000
1511790,334.0000
1511792,330.0000
1511794,334.0000
1511796,338.0000
1511798,330.0000
1511800,334.0000
1511802,334.0000
1511804,330.0000
1511806,340.0000
1511808,338.0000
1511810,330.0000
1511812,334.0000
1511814,330.0000
1511816,330.0000
1511818,328.0000
1511820,334.0000
1511822,330.0000
1511824,334.0000
1511826,330.0000
1511828,334.0000
1511830,334.0000
1511832,334.0000
1511834,334.0000
1511836,334.0000
